test,statistic,p_value,significant,effect_size,effect_size_name,mean_diff,mean_a,std_a,mean_b,std_b,n_a,n_b,algo_a,algo_b,p_value_raw,p_value_corrected
welch,2.6361081157438715,0.4648421759992611,False,1.839222835647341,cohen_d,0.04351580789606424,0.9294352145182583,0.024811702921824157,0.885919406622194,0.0211690769771895,5,3,SAIL-PREF-D,SAIL-TAC-D,0.04648421759992611,0.4648421759992611
welch,7.712112365611006,0.024042435181290296,True,5.569862094719398,cohen_d,0.20310937760766357,0.9294352145182583,0.024811702921824157,0.7263258369105947,0.04776955255517299,5,4,SAIL-PREF-D,SAIL-QPREF,0.0011448778657757283,0.024042435181290296
welch,,,False,,none,,,,,,0,0,SAIL-PREF-D,PAIL-PREF-D,,
welch,2.139326263977312,0.11373638248446304,False,1.427581466455455,cohen_d,0.033152705870336474,0.9294352145182583,0.024811702921824157,0.8962825086479218,0.015298798120139952,5,2,SAIL-PREF-D,PAIL-TAC-D,0.11373638248446304,0.11373638248446304
welch,3.4774853333726146,0.09104608270135454,False,2.4596213808367007,cohen_d,0.07732036130590947,0.9294352145182583,0.024811702921824157,0.8521148532123488,0.03853578088522022,5,4,SAIL-PREF-D,PAIL-QPREF,0.018209216540270908,0.09104608270135454
welch,5.948283044984897,0.07755736825713862,False,4.055761446600085,cohen_d,0.15959356971159933,0.885919406622194,0.0211690769771895,0.7263258369105947,0.04776955255517299,3,4,SAIL-TAC-D,SAIL-QPREF,0.0031022947302855445,0.07755736825713862
welch,,,False,,none,,,,,,0,0,SAIL-TAC-D,PAIL-PREF-D,,
welch,-0.6349215094093456,1.0,False,-0.5338891144462189,cohen_d,-0.010363102025727766,0.885919406622194,0.0211690769771895,0.8962825086479218,0.015298798120139952,3,2,SAIL-TAC-D,PAIL-TAC-D,0.5726809446490153,1.0
welch,1.4815330874833383,0.20158102008993803,False,1.0333118580802048,cohen_d,0.03380455340984523,0.885919406622194,0.0211690769771895,0.8521148532123488,0.03853578088522022,3,4,SAIL-TAC-D,PAIL-QPREF,0.20158102008993803,0.20158102008993803
welch,,,False,,none,,,,,,0,0,SAIL-QPREF,PAIL-PREF-D,,
welch,-6.481849999133849,0.0032751129789555656,True,-4.039767575360719,cohen_d,-0.1699566717373271,0.7263258369105947,0.04776955255517299,0.8962825086479218,0.015298798120139952,4,2,SAIL-QPREF,PAIL-TAC-D,0.0032751129789555656,0.0032751129789555656
welch,-4.099006088849956,0.006986136932944732,True,-2.8984350015507516,cohen_d,-0.1257890163017541,0.7263258369105947,0.04776955255517299,0.8521148532123488,0.03853578088522022,4,4,SAIL-QPREF,PAIL-QPREF,0.006986136932944732,0.006986136932944732
welch,,,False,,none,,,,,,0,0,PAIL-PREF-D,PAIL-TAC-D,,
welch,,,False,,none,,,,,,0,0,PAIL-PREF-D,PAIL-QPREF,,
welch,1.9988061286118963,0.23263007939990354,False,1.2900034455745932,cohen_d,0.044167655435572994,0.8962825086479218,0.015298798120139952,0.8521148532123488,0.03853578088522022,2,4,PAIL-TAC-D,PAIL-QPREF,0.11631503969995177,0.23263007939990354
