setting,env,algo_a,algo_b,iqm_a,iqm_b,iqm_diff_a_minus_b,mean_a,mean_b,mean_diff_a_minus_b,std_a,std_b,n_seeds_a,n_seeds_b,welch_t,p_value_raw,p_value_holm,significant_holm005,cohen_d,cohen_d_size,poi_a_beats_b,interpretation
online,HalfCheetah-v2,SAIL-PREF-D,SAIL-TAC-D,0.8809,0.9238,-0.0429,0.6934,0.9162,-0.2228,0.4256,0.1145,5,2,-1.077,0.33132,1.0,False,-0.58,medium,0.4,no significant difference
online,HalfCheetah-v2,SAIL-PREF-D,SAIL-QPREF,0.8809,0.71,0.1709,0.6934,0.6888,0.0045,0.4256,0.0099,5,2,0.0239,0.9821,1.0,False,0.012,negligible,0.8,no significant difference
online,HalfCheetah-v2,SAIL-PREF-D,PAIL-PREF-D,0.8809,0.901,-0.0201,0.6934,0.8968,-0.2034,0.4256,0.0227,5,4,-1.0665,0.34588,1.0,False,-0.631,medium,0.3,no significant difference
online,HalfCheetah-v2,SAIL-PREF-D,PAIL-TAC-D,0.8809,0.9355,-0.0546,,,,,,0,0,,,,False,NA,NA,0.0,no significant difference
online,HalfCheetah-v2,SAIL-PREF-D,PAIL-QPREF,0.8809,0.8243,0.0566,0.6934,0.8104,-0.117,0.4256,0.0278,5,2,-0.6113,0.57338,1.0,False,-0.307,small,0.8,no significant difference
online,HalfCheetah-v2,SAIL-TAC-D,SAIL-QPREF,0.9238,0.71,0.2138,0.9162,0.6888,0.2273,0.1145,0.0099,2,2,2.7968,0.21563,1.0,False,2.797,very_large,1.0,no significant difference
online,HalfCheetah-v2,SAIL-TAC-D,PAIL-PREF-D,0.9238,0.901,0.0228,0.9162,0.8968,0.0194,0.1145,0.0227,2,4,0.2373,0.85051,1.0,False,0.321,small,0.5,no significant difference
online,HalfCheetah-v2,SAIL-TAC-D,PAIL-TAC-D,0.9238,0.9355,-0.0117,,,,,,0,0,,,,False,NA,NA,0.5,no significant difference
online,HalfCheetah-v2,SAIL-TAC-D,PAIL-QPREF,0.9238,0.8243,0.0995,0.9162,0.8104,0.1058,0.1145,0.0278,2,2,1.2696,0.40758,0.40758,False,1.27,large,1.0,no significant difference
online,HalfCheetah-v2,SAIL-QPREF,PAIL-PREF-D,0.71,0.901,-0.191,0.6888,0.8968,-0.2079,0.0099,0.0227,2,4,-15.5833,0.0001,0.0001,True,-10.253,very_large,0.0,"PAIL-PREF-D significantly better (p=0.0001, d_size=very_large)"
online,HalfCheetah-v2,SAIL-QPREF,PAIL-TAC-D,0.71,0.9355,-0.2255,,,,,,0,0,,,,False,NA,NA,0.0,no significant difference
online,HalfCheetah-v2,SAIL-QPREF,PAIL-QPREF,0.71,0.8243,-0.1143,0.6888,0.8104,-0.1215,0.0099,0.0278,2,2,-5.826,0.07404,0.07404,False,-5.826,very_large,0.0,no significant difference
online,HalfCheetah-v2,PAIL-PREF-D,PAIL-TAC-D,0.901,0.9355,-0.0345,,,,,,0,0,,,,False,NA,NA,0.0,no significant difference
online,HalfCheetah-v2,PAIL-PREF-D,PAIL-QPREF,0.901,0.8243,0.0767,0.8968,0.8104,0.0864,0.0227,0.0278,4,2,3.8073,0.07917,0.07917,False,3.588,very_large,1.0,no significant difference
online,HalfCheetah-v2,PAIL-TAC-D,PAIL-QPREF,0.9355,0.8243,0.1112,,,,,,0,0,,,,False,NA,NA,1.0,no significant difference
