time/fps,rollout/ep_rew_mean,time/time_elapsed,time/episodes,rollout/ep_len_mean,time/total_timesteps,train/actor_loss,train/n_updates,train/disc_loss,train/learning_rate,train/surrogate_reward_std,train/surrogate_reward_mean,train/critic_loss
65,6006.1168768,4409,291,1000.0,291000,-40.28802568817139,280000,0.5404635697603226,0.001,0.035741516417294804,0.31558461955189704,4.5504657425880435
66,6025.95466701,4419,292,1000.0,292000,-40.260252601623534,281000,0.5499349862337113,0.001,0.03436603595643576,0.3066953390985727,4.544995440483094
66,6045.55871652,4429,293,1000.0,293000,-40.61558114624023,282000,0.5510202765464782,0.001,0.03637436682011162,0.3087369536161423,4.563416592121124
66,6066.0840861199995,4439,294,1000.0,294000,-40.746773475646975,283000,0.5423945307731628,0.001,0.0367108106966312,0.3057432110309601,4.613345554590225
66,6083.268722349999,4449,295,1000.0,295000,-40.730324409484865,284000,0.572055560350418,0.001,0.03338818463221756,0.29646052183210847,4.364838711023331
66,6103.828174379999,4459,296,1000.0,296000,-40.74767317962647,285000,0.5797002136707305,0.001,0.0331957785399942,0.29544824922084806,4.271302538871765
66,6122.618191320001,4469,297,1000.0,297000,-40.945377716064456,286000,0.5902437806129456,0.001,0.035947271058062676,0.3199012922346592,4.179085383415222
66,6139.973492870002,4479,298,1000.0,298000,-40.96075307464599,287000,0.5647053003311158,0.001,0.03528590980806833,0.3260052839666605,4.2714171800613405
66,6159.27311338,4489,299,1000.0,299000,-41.17502743530274,288000,0.5744627416133881,0.001,0.035771225239728595,0.3175242111980915,4.25153557062149
66,6176.86944295,4499,300,1000.0,300000,-41.33946890258789,289000,0.5811394691467285,0.001,0.036104077520376025,0.32315311655402185,4.191720108270645
66,6197.79345406,4509,301,1000.0,301000,-41.43283094024658,290000,0.6075218319892883,0.001,0.039778082585230815,0.3459727189540863,4.199219961881638
66,6211.38730316,4519,302,1000.0,302000,-41.39093717956543,291000,0.6023797214031219,0.001,0.035497941764313125,0.3263335436433554,4.253393982648849
66,6226.6501188600005,4537,303,1000.0,303000,-41.57897164916992,292000,0.5775948524475097,0.001,0.03297837327022834,0.3238090809434652,4.096531523942947
66,6242.542191240001,4547,304,1000.0,304000,-41.65329700469971,293000,0.5795104205608368,0.001,0.034657677174285625,0.3150423005372286,4.079022393465042
66,6254.831305360001,4557,305,1000.0,305000,-41.54465849304199,294000,0.5864196479320526,0.001,0.032807358333699334,0.3073489846289158,4.019629824638367
